stage,elapsed_us
scheduler.build_microbatch,11.103
scheduler.decode_pop,79371.1
scheduler.adapter_pop,80655
scheduler.enqueue_microbatch,3.945
scheduler.build_microbatch,20.012
scheduler.decode_pop,79675.2
scheduler.adapter_pop,78522
scheduler.enqueue_microbatch,5.1
scheduler.build_microbatch,24.605
scheduler.decode_pop,82313.5
scheduler.adapter_pop,81358.2
scheduler.enqueue_microbatch,4.477
scheduler.build_microbatch,12.436
scheduler.decode_pop,82903.1
scheduler.adapter_pop,82787.3
scheduler.enqueue_microbatch,5.505
scheduler.build_microbatch,12.883
scheduler.decode_pop,81302.5
scheduler.adapter_pop,80318.2
scheduler.enqueue_microbatch,9.974
scheduler.build_microbatch,22.721
scheduler.decode_pop,78814.9
scheduler.adapter_pop,80295.3
scheduler.enqueue_microbatch,11.75
scheduler.build_microbatch,23.815
scheduler.decode_pop,80710.7
scheduler.adapter_pop,81856.9
scheduler.enqueue_microbatch,6.242
scheduler.build_microbatch,16.857
scheduler.decode_pop,80782.4
scheduler.adapter_pop,79442.9
scheduler.enqueue_microbatch,6.006
scheduler.build_microbatch,14.279
scheduler.decode_pop,80283.5
scheduler.adapter_pop,79414.3
scheduler.enqueue_microbatch,9.865
scheduler.build_microbatch,19.864
scheduler.decode_pop,80506.3
scheduler.adapter_pop,78621.4
scheduler.enqueue_microbatch,9.221
scheduler.build_microbatch,23.342
scheduler.decode_pop,79132.8
scheduler.adapter_pop,79948.9
scheduler.enqueue_microbatch,6.869
scheduler.build_microbatch,15.2
scheduler.decode_pop,81047.2
scheduler.adapter_pop,82147.1
scheduler.enqueue_microbatch,4.493
scheduler.build_microbatch,11.474
scheduler.decode_pop,78069.8
scheduler.adapter_pop,79649.8
scheduler.enqueue_microbatch,11.173
scheduler.build_microbatch,23.699
scheduler.decode_pop,79486.1
scheduler.adapter_pop,79961.3
scheduler.enqueue_microbatch,10.813
scheduler.build_microbatch,20.315
scheduler.decode_pop,80788.4
scheduler.adapter_pop,78406.9
scheduler.enqueue_microbatch,6.486
scheduler.build_microbatch,14.835
scheduler.decode_pop,76296.2
scheduler.adapter_pop,75678.1
scheduler.enqueue_microbatch,9.897
scheduler.build_microbatch,40.865
scheduler.decode_pop,85481.9
scheduler.adapter_pop,85788.2
scheduler.enqueue_microbatch,6.637
scheduler.build_microbatch,13.936
scheduler.decode_pop,77037.8
scheduler.adapter_pop,77814.5
scheduler.enqueue_microbatch,6.017
scheduler.build_microbatch,13.89
scheduler.decode_pop,82965.7
scheduler.adapter_pop,84697.3
scheduler.enqueue_microbatch,6.227
scheduler.build_microbatch,16.484
scheduler.decode_pop,81812.9
scheduler.adapter_pop,82658.2
scheduler.enqueue_microbatch,6.069
scheduler.build_microbatch,17.142
scheduler.decode_pop,75678.3
scheduler.adapter_pop,76014.8
scheduler.enqueue_microbatch,13.972
scheduler.build_microbatch,24.829
scheduler.decode_pop,78414.7
scheduler.adapter_pop,78435.9
scheduler.enqueue_microbatch,4.87
scheduler.build_microbatch,8.948
scheduler.decode_pop,76361.2
scheduler.adapter_pop,74612.4
scheduler.enqueue_microbatch,4.766
scheduler.build_microbatch,9.703
scheduler.decode_pop,78810.3
scheduler.adapter_pop,77907.2
scheduler.enqueue_microbatch,6.177
scheduler.build_microbatch,17.6
scheduler.decode_pop,84062.4
scheduler.adapter_pop,84306.7
scheduler.enqueue_microbatch,11.641
scheduler.build_microbatch,24.196
scheduler.decode_pop,85262.5
scheduler.adapter_pop,84014
scheduler.enqueue_microbatch,10.219
scheduler.build_microbatch,22.475
scheduler.decode_pop,81176.8
scheduler.adapter_pop,82735.8
scheduler.enqueue_microbatch,4.301
scheduler.build_microbatch,10.349
scheduler.decode_pop,76236.1
scheduler.adapter_pop,75908.8
scheduler.enqueue_microbatch,8.681
scheduler.build_microbatch,18.144
scheduler.decode_pop,75924.9
scheduler.adapter_pop,76509.7
